scope,system,n_negatives,gen_mean,overall_mean
bash,simple,7,4.571,3.268
bash,reranked_simple,7,4.543,3.271
bash,agentic,7,4.571,3.268
bash,self_rag,7,4.571,4.143
bash,flare,7,4.571,3.286
bash,ear_full,7,4.571,3.268
coreutils,simple,8,5.0,3.5
coreutils,reranked_simple,8,5.0,3.484
coreutils,agentic,8,5.0,3.5
coreutils,self_rag,8,4.525,3.966
coreutils,flare,8,4.5,3.188
coreutils,ear_full,8,5.0,3.453
make,simple,8,4.55,3.228
make,reranked_simple,8,4.55,3.337
make,agentic,8,4.525,3.325
make,self_rag,8,4.525,4.387
make,flare,8,4.55,3.291
make,ear_full,8,4.55,3.306
POOLED,simple,23,4.713,3.335
POOLED,reranked_simple,23,4.704,3.368
POOLED,agentic,23,4.704,3.368
POOLED,self_rag,23,4.539,4.166
POOLED,flare,23,4.539,3.253
POOLED,ear_full,23,4.713,3.346
